RazaoSocial;UF;TotalDespesas;MediaTrimestral;DesvioPadrao
BIOVIDA SAÚDE LTDA.;SP;2189011164.64;31271588.07;53420053.99
ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE;SP;2138437822.60;26400466.95;41990565.94
UNIMED ANHANGUERA COOPERATIVA DE TRABALHO MÉDICO;SP;2136020569.32;9798259.49;28695673.59
UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO;SP;2115368912.96;8888104.68;24048150.76
AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA;SP;2109147531.41;11588722.70;28970047.56
INTEGRA ASSISTENCIA MEDICA SA;SP;2097904354.65;31786429.62;51533994.95
UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA;BA;2057021126.26;9101863.39;23735868.33
2CARE OPERADORA DE SAÚDE LTDA.;SP;2052157290.29;16549655.57;40299228.93
UNIMED MARANHÃO DO SUL - COOPERATIVA DE TRABALHO MÉDICO;MA;2050136261.32;8233478.96;19123894.78
AMPLA PLANOS DE SAUDE LTDA;RJ;2049270545.33;42693136.36;62981439.13
UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO;MT;2018151683.60;8008538.43;20595755.85
UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA;AM;2015339803.88;15622789.18;27116296.08
UNIMED AMPARO COOPERATIVA DE TRABALHO MÉDICO;SP;1995373806.52;8045862.12;21467450.25
UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO;GO;1986729035.38;8076134.29;21466539.13
NOSSA SAÚDE - OPERADORA PLANOS PRIVADOS DE ASSISTÊNCIA  À SAÚDE LTDA.;PR;1986062408.99;11033680.05;26514486.99
UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO;RO;1980816530.32;8084965.43;21732759.49
UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO;SP;1944554592.46;11644039.48;29509526.92
UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO;SP;1944428760.75;5735778.06;20558433.07
FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS;SC;1936952628.86;11739106.84;29210354.12
UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO;SP;1933441840.96;8056007.67;23946983.53
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI;RS;1904188357.97;12206335.63;30565111.21
UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO;RJ;1870081602.11;8202112.29;19299256.23
UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO;SP;1853673287.97;8743741.92;22710423.10
UNIMED COSTA OESTE - COOPERATIVA DE TRABALHO MÉDICO;PR;1849589888.43;6334211.95;18596515.37
PLENA SAÚDE S.A.;SP;1848966377.24;11413372.70;27588766.22
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA EMPRESA BRASILEIRA DE PESQUISA  AGROPECUÁRIA;DF;1829670870.88;17592989.14;32261078.87
PROASA SAÚDE;DF;1826408758.04;12862033.51;29154995.46
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;MG;1811336298.87;8922838.91;21079907.17
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA;PR;1810759975.75;7838787.77;20328141.69
UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL;SC;1793677199.71;4280852.51;13484519.02
UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;1777227369.28;9554985.86;22905094.13
S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL;SP;1768232035.70;13098015.08;27765700.07
UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA;MS;1740190359.95;6693039.85;16825297.43
LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A;SP;1731487725.36;6509352.35;20516812.69
GAMA SAUDE LTDA.;SP;1710187977.69;48862513.65;122443859.05
UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO;SP;1700939114.05;5707849.38;15859835.21
UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;1697023888.62;6239058.41;18134502.01
SERMED-SAÚDE LTDA.;SP;1694658067.62;7773660.86;24338085.68
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA;MG;1682045851.69;7787249.31;20919405.58
UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA;AC;1665025032.35;6330893.66;18029768.28
UNIÃO MÉDICA PLANOS DE SAÚDE S/A;BA;1655719856.14;11418757.63;23381335.75
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA;SP;1650081489.60;19186994.07;39884217.17
FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL;PR;1628524481.91;11468482.27;29728722.16
UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO.;ES;1626736857.26;8938114.60;20142121.77
UNIMED PATO BRANCO SOCIEDADE COOPERATIVA DE MÉDICOS;PR;1607310358.02;5102572.57;16607101.02
SÃO LUCAS SAÚDE S/A;SP;1597909864.25;13894868.38;33144503.43
UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;1596856798.98;9393275.29;18065655.47
LIFE EMPRESARIAL SAÚDE LTDA.;SP;1589509429.54;10189163.01;27615046.05
UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.;MG;1586968268.13;7521176.63;14309627.15
CAIXA DE ASSISTÊNCIA OSWALDO CRUZ;RJ;1527722240.64;12420506.02;28430861.07
SAUDE PAS - MEDICINA E ODONTO;RS;1524170709.14;16388932.36;34712741.96
UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO;SP;1509242135.73;4852868.60;15726519.90
ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL;SP;1508870429.71;11430836.59;23120869.79
UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO;SP;1496589923.48;3817831.44;14720970.00
SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA;MG;1485028528.75;8633886.80;19920063.75
UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.;GO;1469494020.12;4981335.66;13472765.02
FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;MG;1442759712.24;16583444.97;32202008.35
UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO;SP;1405678947.47;7681305.72;19086993.23
UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA;CE;1389096550.90;10444334.97;23436744.51
CABERJ INTEGRAL SAÚDE S.A;RJ;1388196402.45;7627452.76;19048684.76
PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA;SP;1387113506.03;10274914.86;24738812.87
UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;SP;1355884021.34;15766093.27;26519978.77
UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO;MG;1354818442.62;5210840.16;13654381.66
UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO ;PR;1347890895.11;7285896.73;17354429.30
UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO;MG;1347562309.56;9167090.54;17871632.76
MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO;RJ;1346042629.70;21365756.03;29329710.15
UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO;TO;1342355600.35;5640149.58;13028697.38
MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;SP;1339050923.49;11444879.69;25017241.40
UNIHOSP SAÚDE LTDA;SP;1322332104.48;15742048.86;30154619.91
OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA;RJ;1309120058.64;10389841.74;22044016.26
UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA;RJ;1308041690.08;4722172.17;12983865.74
UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;RS;1291872378.61;6459361.89;15579452.01
POLICLIN SAÚDE S/A.;SP;1259250218.08;9059354.09;25827371.62
UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO;AL;1237975451.39;5652855.94;14483064.53
UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO;BA;1236723080.20;6183615.40;15877853.36
UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;1197565267.74;3900864.06;11231918.71
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE;MG;1188401396.85;9003040.89;22207944.93
UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO;ES;1182185493.88;4546867.28;13157137.12
UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO;PR;1158133648.28;5013565.58;11661816.17
UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO;SP;1152280419.61;4903320.93;12283132.68
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE;PA;1150878376.76;14568080.72;26372548.04
BENEFICENCIA CAMILIANA DO SUL;SP;1150192564.79;14559399.55;29485923.89
SIM - CAIXA DE ASSISTÊNCIA À SAÚDE;SC;1141946444.70;8651109.43;20096179.50
HBC SAÚDE LTDA.;SP;1135797963.44;11472706.70;23727197.64
UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;1122899361.19;5424634.60;13599950.01
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO;SP;1114895744.26;8137925.14;16536103.27
IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ;PR;1102566147.69;6805963.87;16470487.69
UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO;SP;1101195119.04;3316852.77;10174322.96
